cost,description,maintanance_company,repairment_company,work_type,year,street_name_geocode,Latitude,Longitude,id,worktype_grouped
441349.8,Ремонт покрівель,,"ТОВ ""Газ-Пласт-Буд""",Ремонт покрівель,2016,"Україна, Тернопіль, вулицяГагаріна 3",49.5114188,25.6099111,300,Ремонт будинків
278450.8,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2016,"Україна, Тернопіль, вулицяБратів  Бойчуків 7",49.5592491,25.6391547,301,Ремонт будинків
135173.87,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, вулицяВолодимира Великого 4",49.5702203,25.6377753,302,Ремонт будинків
475267.4,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, вулиця Київська 14",49.5619692,25.6399758,303,Ремонт будинків
155099.16,Ремонт покрівель,,ФОП Зінчук П.В.,Ремонт покрівель,2016,"Україна, Тернопіль, вулиця Лесі  Українки 13",49.5454438,25.6237092,304,Ремонт будинків
590662.06,Ремонт покрівель,,"ТОВ ""Світлоцентр""",Ремонт покрівель,2016,"Україна, Тернопіль, вулицяБратів Гжицьких 1",49.5489064,25.5702274,305,Ремонт будинків
141248.94,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, вулицяСимоненка 18",49.568363,25.6473597,306,Ремонт будинків
82983.4,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2016,"Україна, Тернопіль, вулицяГалицька 54",49.5586635,25.6188298,307,Ремонт будинків
194828.08,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, проспект Злуки 55",49.5572123,25.638413,308,Ремонт будинків
62478.72,Ремонт покрівель,,"ДП ""Люкс 1""ПП ""Люкс""",Ремонт покрівель,2016,"Україна, Тернопіль, вулицяРєпіна 16",49.5521775,25.6234816,309,Ремонт будинків
132162.09,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, проспект Злуки 29",49.55882,25.628496,310,Ремонт будинків
128414.38,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, вулиця Київська 10",49.5629272,25.6376388,311,Ремонт будинків
147060.62,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2016,"Україна, Тернопіль, бульварДанила  Галицького 6",49.5462198,25.6266292,312,Ремонт будинків
153131.92,Ремонт покрівель,,"ПП ""Комфорт-Еко-Сервіс""",Ремонт покрівель,2016,"Україна, Тернопіль, вулицяБратів  Бойчуків 3",49.5588515,25.6408323,313,Ремонт будинків
40703.46,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2016,"Україна, Тернопіль, вулицяКнязя  Острозького 58",49.5445,25.6003813,314,Ремонт будинків
30000,Ремонт покрівель,,ТОВ «Юні Сервіс Груп»,Ремонт покрівель,2016,"Україна, Тернопіль, вулицяМаксима Кривоноса 11",49.5485164,25.5654871,315,Ремонт будинків
787464.81,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, проспектСтепана Бандери 76",49.5489978,25.6242393,334,Ремонт будинків
889347.39,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяВербицького 4",49.5530079,25.6263472,335,Ремонт будинків
1155052.16,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяГенерала М.Тарнавського 1",49.5611201,25.6223634,336,Ремонт будинків
599223,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Князя Острозького 62",49.5446475,25.6015555,337,Ремонт будинків
282354.28,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяЧалдаєва 11",49.5608463,25.6284608,338,Ремонт будинків
2085049.92,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль,     вулицяПушкіна 5(1,2,3,4)  ",49.5613923,25.6329817,339,Ремонт будинків
759661.391,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяЛеся  Курбаса 9",49.5734812,25.6431173,340,Ремонт будинків
646284.24,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяЛесі  Українки 15",49.5446967,25.6233616,341,Ремонт будинків
1102942,Ремонт прибуд. території,,ФОП Марцінковський І.М.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяДружби 6",49.5448108,25.5757729,342,Ремонт будинків
1081215.57,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2017,"Україна, Тернопіль, бульварДанила Галицького 6",49.5462198,25.6266292,343,Ремонт будинків
1202414.36,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Винниченка 1",49.5448784,25.571167,344,Ремонт будинків
741556.22,Ремонт прибуд. території,,"ТОВ""Техно-Буд-Центр""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяТранспортна 10",49.5651324,25.5931786,345,Ремонт будинків
1486525.24,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, проспект Злуки 5",49.5628052,25.6137169,346,Ремонт будинків
993395.15,Ремонт прибуд. території,,ФОП Швайка В.Д.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяМалишка 1",49.5491708,25.6109302,347,Ремонт будинків
1612266.6,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Протасевича 14(1-4)",49.5408878,25.6319006,348,Ремонт будинків
1410435.82,Ремонт прибуд. території,,ФОП Швайка В.Д.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Лесі Українки 1",49.5453423,25.6202757,349,Ремонт будинків
1211575.88,Ремонт прибуд. території,,ФОП Шенгера В.І.,Ремонт прибуд. території,2017,"Україна, Тернопіль, бульварС.Петлюри 10",49.5585889,25.6455314,350,Ремонт будинків
1258553.06,Ремонт прибуд. території,,"КП ""МШРБП",Ремонт прибуд. території,2017,"Україна, Тернопіль, проспектЗлуки 55",49.5572123,25.638413,351,Ремонт будинків
1041166.25,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяМакаренка 6",49.5490973,25.5596958,352,Ремонт будинків
1556097.9,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяЧалдаєва 3",49.5602814,25.6269831,353,Ремонт будинків
1142192.53,Ремонт прибуд. території,,ФОП Швайка В.Д.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяВолодимира  Великого 10",49.5703213,25.6380342,354,Ремонт будинків
1404299.29,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Живова 2",49.5438139,25.6022929,355,Ремонт будинків
1019993.3,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяГалицька 56",49.5590305,25.6189433,356,Ремонт будинків
1262183.18,Ремонт прибуд. території,,"СБУ""Спецбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяБ. Хмельницького 29",49.5561158,25.5983866,357,Ремонт будинків
237716.8,Ремонт прибуд. території,,"ТОВ ""ГазПлатсБуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Золотогірська 15",49.5621555,25.5525977,358,Ремонт будинків
761437.22,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяМ. Грушевського 9",49.5548641,25.591706,359,Ремонт будинків
512941.25,Ремонт прибуд. території,,ФОП Наконечний О.В.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяВ. Симоненка 1",49.5689467,25.6415989,360,Ремонт будинків
1277667.146,Ремонт прибуд. території,,"ТОВ ""АваксПроф""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяС. Крушельницької 1",49.557235,25.5919448,361,Ремонт будинків
1034914.97,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, проспектСепана Бандери 27",49.5516864,25.6154629,362,Ремонт будинків
993184.23,Ремонт прибуд. території,,ФОП Марцинковський І.М.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяТанцорова 22",49.5499729,25.5838013,363,Ремонт будинків
997707.99,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяБілецька 2",49.557008,25.5902958,364,Ремонт будинків
637713.08,Ремонт прибуд. території,,"ТОВ""ШляхрембудЗахід""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяПротасевича 8",49.5430359,25.6328879,365,Ремонт будинків
191079.33,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяМ. Вербицького 1",49.5542472,25.627395,366,Ремонт будинків
135866.44,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2017,"Україна, Тернопіль,     вулицяП. Чубинського 2 (ІІІ, ІV, V)  ",49.5553257,25.6262607,367,Ремонт будинків
986065.9,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяНовий Світ 4",49.5639274,25.592697,368,Ремонт будинків
1725389.85,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Чалдаєва 7",49.5606593,25.6274535,369,Ремонт будинків
788621.321,Ремонт прибуд. території,,"ТОВ ""Фенікс"" 2017",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Чалдаєва 13",49.5612333,25.6271857,370,Ремонт будинків
1512673.4,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Чалдаєва 9",49.5609139,25.6267377,371,Ремонт будинків
370152.28,Ремонт прибуд. території,,ФОП Наконечний О.В.,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяП.Орлика 1",49.5448359,25.5766561,372,Ремонт будинків
862912.16,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2017,"Україна, Тернопіль, проспектЗлуки 31",49.5608502,25.6208976,373,Ремонт будинків
673636.37,Ремонт прибуд. території,,"ТОВ ""АваксПроф""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяГенерала М. Тарнавського 22",49.5637591,25.6337683,374,Ремонт будинків
601653.76,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Київська 11",49.5611556,25.6435889,375,Ремонт будинків
1143751.98,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяКиївська 11а",49.5607306,25.6440357,376,Ремонт будинків
1168682.11,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяМ.Грушевського 1",49.5535188,25.5940795,377,Ремонт будинків
137449.873,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2017,"Україна, Тернопіль, вулиця Генерала М. Тарнавського 5",49.5620928,25.6249938,378,Ремонт будинків
293827.48,Ремонт прибуд. території,,"ТОВ ""ГазПластБуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль,     вулицявул. Київська,6а-вул. Київська, 6б    ",49.5634343,25.6392975,379,Ремонт будинків
1388380.43,Ремонт прибуд. території,,"ТОВ ""ТОМ-Інвестбуд""",Ремонт прибуд. території,2017,"Україна, Тернопіль, вулицяЧалдаєва 5",49.5609452,25.625977,380,Ремонт будинків
295227.61,Ремонт прибуд. території,,ФОП Наконечний О.В.,Ремонт прибуд. території,2017,"Україна, Тернопіль, проспектСтепана  Бандери 96",49.5473942,25.6324468,381,Ремонт будинків
130156.24,Ремонт покрівель,,"ТОВ ""Фенікс 2017""",Ремонт покрівель,2017,"Україна, Тернопіль, бульварТараса  Шевченка 33",49.5514606,25.595588,382,Ремонт будинків
236206.2,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяБ. Лепкого 14",49.564449,25.635576,383,Ремонт будинків
77541.493,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяП. Куліша 4",49.5669039,25.6417547,384,Ремонт будинків
173741.733,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Володимира  Великого 4",49.5702203,25.6377753,385,Ремонт будинків
44028.86,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, проспектЗлуки 29",49.55882,25.628496,386,Ремонт будинків
142858.47,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Київська 10",49.5629272,25.6376388,387,Ремонт будинків
161858.18,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Білецька 16",49.558306,25.5887156,388,Ремонт будинків
18653.7,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль,     вулиця Князя  Острозького 58, 60  ",49.5445,25.6003813,389,Ремонт будинків
299225.3,Ремонт покрівель,,"ПП ""ТернопільКомСервіс""",Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Галицька 41",49.5590247,25.6172818,390,Ремонт будинків
258731.66,Ремонт покрівель,,"ТОВ ""Газ-Пласт-Буд""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяМитрополита Шептицького 3",49.5479083,25.5938527,391,Ремонт будинків
193194.2,Ремонт покрівель,,"ТОВ ""ВенконІнвест""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяКлима Савури 7",49.5389884,25.6295047,392,Ремонт будинків
623829.46,Ремонт покрівель,,"ТОВ ""ВенконІнвест""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяІ. Мазепи 5",49.5508459,25.5696682,393,Ремонт будинків
403199.6,Ремонт покрівель,,"ТОВ ""ВенконІнвест""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяЗбаразька 35",49.5623117,25.6082775,394,Ремонт будинків
492075.06,Ремонт покрівель,,"ТОВ ""ВенконІнвест""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяБроварна 14",49.5592714,25.5898988,395,Ремонт будинків
129074.32,Ремонт покрівель,,ФОП Яремук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, бульварДанила  Галицького 6",49.5462198,25.6266292,396,Ремонт будинків
171005.4,Ремонт покрівель,,ФОП Яремук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Володимира Великого 5",49.5702203,25.6377753,397,Ремонт будинків
241585.98,Ремонт покрівель,,ФОП Яремук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяБ.Лепкого 6",49.5609859,25.6368525,398,Ремонт будинків
104582.18,Ремонт покрівель,,ФОП Яремук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, бульварДанила  Галицького 28",49.5446351,25.6257772,399,Ремонт будинків
49998.91,Ремонт покрівель,,ФОП Яремук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Бойківська 4",49.5571821,25.6207655,400,Ремонт будинків
309162.18,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяС.Петлюри 3",49.558153,25.6436284,401,Ремонт будинків
183722.58,Ремонт покрівель,,ФОП Зіньчук П.В.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Лесі  Українки 37",49.5431933,25.6304276,402,Ремонт будинків
254145.42,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Карпенка 23",49.5429022,25.5831289,403,Ремонт будинків
152041.5,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Братів Бойчуків 5",49.5600409,25.6386861,404,Ремонт будинків
387481.32,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяБродівська 50",49.5736616,25.5879129,405,Ремонт будинків
220229,Ремонт покрівель,,"ТОВ ""ДобробутЄвроПлюс""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяГалицька 56",49.5590305,25.6189433,406,Ремонт будинків
38101.6,Ремонт покрівель,,"ТОВ ""ЮніСервісГруп""",Ремонт покрівель,2017,"Україна, Тернопіль, проспектЗлуки 2",49.5621593,25.6112326,407,Ремонт будинків
265539.74,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяМ.  Карпенка 15",49.5425683,25.5799539,408,Ремонт будинків
232553.4,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, проспектЗлуки 31",49.5608502,25.6208976,409,Ремонт будинків
112491.72,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяГероїв Крут 7",49.541919,25.6257512,410,Ремонт будинків
97828.93,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяБ. Лепкого 8",49.5614184,25.6356559,411,Ремонт будинків
184805.88,Ремонт покрівель,,"ТОВ ""ЮніСервісГруп""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяМаксима Кривоноса 11",49.5485164,25.5654871,412,Ремонт будинків
234285.05,Ремонт покрівель,,ФОП Рудніцький А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, проспектЗлуки 57",49.556153,25.6385971,413,Ремонт будинків
49997.54,Ремонт покрівель,,"ДП""Люкс-Житло""",Ремонт покрівель,2017,"Україна, Тернопіль, вулиця15 Квітня 43",49.5660076,25.6504974,414,Ремонт будинків
49998.48,Ремонт покрівель,,"ДП""Люкс-Житло-1""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяВ. Симоненка 10",49.567329,25.6438456,415,Ремонт будинків
89087.93,Ремонт покрівель,,ФОП Рудніцький А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяВ. Симоненка 2",49.5681314,25.642974,416,Ремонт будинків
37420.4,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяС.  Будного 30",49.541734,25.5626981,417,Ремонт будинків
75635.98,Ремонт покрівель,,ФОП Рудніцький А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяЖивова 28 (2)",49.5468438,25.5902835,418,Ремонт будинків
136843.88,Ремонт покрівель,,ФОП Рудніцький А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Живова 2",49.5438139,25.6022929,419,Ремонт будинків
172082.17,Ремонт покрівель,,ФОП Рудніцький А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяОболоня 11",49.5425375,25.597053,420,Ремонт будинків
47841.64,Ремонт покрівель,,ФОП Рудніцький А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Новий Світ 1",49.5639263,25.5918019,421,Ремонт будинків
4315,Ремонт покрівель,,"ТОВ ""ЄвроМісто""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяІ. Котляревського 1",49.5597172,25.5900039,422,Ремонт будинків
100399.7,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяБратів  Бойчуків 1а",49.5591434,25.6400498,423,Ремонт будинків
89262.62,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяКиївська 5",49.561602,25.6432317,424,Ремонт будинків
109864.32,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця За Рудкою 1",49.5586834,25.5929304,425,Ремонт будинків
118290.08,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Просвіти 8",49.5449175,25.5620002,426,Ремонт будинків
319631.34,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця М. Ломоносова 41",49.5577703,25.6165648,427,Ремонт будинків
152363.17,Ремонт покрівель,,ПП Рудніцкий А.М.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяКиївська 4",49.563604,25.636469,428,Ремонт будинків
108552.08,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця15 Квітня 3",49.5572239,25.6398003,429,Ремонт будинків
29994.65,Ремонт покрівель,,"ДП ""Люкс-Житло7""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяВ. Симоненка 18",49.568363,25.6473597,430,Ремонт будинків
101317.8,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулицяМ. Карпенка 17",49.5424154,25.5808707,431,Ремонт будинків
62385.2,Ремонт покрівель,,ФОП Яремчук Р.І.,Ремонт покрівель,2017,"Україна, Тернопіль, вулиця Чалдаєва 8",49.5602311,25.6303394,432,Ремонт будинків
58006.82,Ремонт покрівель,,"ПП ""Люкс""",Ремонт покрівель,2017,"Україна, Тернопіль, вулицяЄ. Коновальця 16",49.5570049,25.6252784,433,Ремонт будинків
1341495.73,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2018,"Україна, Тернопіль, бульварДанила Галицького 12",49.5468595,25.6256346,454,Ремонт будинків
1251771.24,Ремонт прибуд. території,,ФОП Крайчак Р.Я.,Ремонт прибуд. території,2018,"Україна, Тернопіль, бульварПросвіти 13",49.5443573,25.564102,455,Ремонт будинків
1206954.51,Ремонт прибуд. території,,"ТОВ ""Тернопільбудпостач""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулиця15 Квітня 29",49.5648009,25.6484073,456,Ремонт будинків
606726.76,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяМ. Вербицького 1",49.5542472,25.627395,457,Ремонт будинків
937767.35,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяГенерала М. Тарнавського 16",49.5630938,25.632984,458,Ремонт будинків
327480.19,Ремонт прибуд. території,,"ТОВ ""АваксПроф""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяГенерала М. Тарнавського 22",49.5637591,25.6337683,459,Ремонт будинків
1276224.14,Ремонт прибуд. території,,ФОП Крайчак Р.Я.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяМ.Карпенка 1",49.5414532,25.5760002,460,Ремонт будинків
1405986.394,Ремонт прибуд. території,,ПП Шеремет В.В.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяКнязя Острозького 28",49.5467436,25.5985377,461,Ремонт будинків
460426.3,Ремонт прибуд. території,,"ТОВ ""ПрофБуд""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяС. Крушельницької 1а",49.5574224,25.5929515,462,Ремонт будинків
1490243.06,Ремонт прибуд. території,,ПП Шеремет В.В.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяЛеся Курбаса 4",49.5722609,25.6395559,463,Ремонт будинків
1005944,Ремонт прибуд. території,,"ТОВ ""ВНТ""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяМакаренка 4",49.549036,25.5612164,464,Ремонт будинків
993718.94,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль,     вулиця. Микулинецька-бічна,2 2  ",49.5192502,25.6041283,465,Ремонт будинків
411989.28,Ремонт прибуд. території,,"ТОВ ""Тернопільбудпостач""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяНазарія Яремчукка 25",49.5484719,25.5729666,466,Ремонт будинків
582676.89,Ремонт прибуд. території,,ФОП Франків О.В.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяП.Орлика 1",49.5448359,25.5766561,467,Ремонт будинків
1391657.63,Ремонт прибуд. території,,ФОП Франків О.В.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяП.Орлика 2",49.5447013,25.5773157,468,Ремонт будинків
739023.1,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулиця Протасевича 16",49.5394044,25.6312497,469,Ремонт будинків
1054201.49,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяПротасевича 16а",49.5394044,25.6312497,470,Ремонт будинків
179562.214,Ремонт прибуд. території,,"ТОВ""ШляхрембудЗахід""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяПротасевича 8",49.5430359,25.6328879,471,Ремонт будинків
217128.07,Ремонт прибуд. території,,ФОП Марцинківський І.М.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулиця Руська  2",49.5503026,25.5838462,472,Ремонт будинків
684221.46,Ремонт прибуд. території,,ФОП Франків О.В.,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяВ. Симоненка 1",49.5689467,25.6415989,473,Ремонт будинків
1162308.12,Ремонт прибуд. території,,"ТОВ ""Тернопільбудпостач""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяВ.  Симоненка 3",49.5690883,25.6425279,474,Ремонт будинків
979463.64,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль, вулиця Слівенська 15",49.5458836,25.6194264,475,Ремонт будинків
442489.45,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяТранспортна 9",49.5646358,25.5936593,476,Ремонт будинків
153865.2,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулиця Чалдаєва 3",49.5602814,25.6269831,477,Ремонт будинків
91709.46,Ремонт прибуд. території,,"ТОВ ""ТОМ-ІнвестБуд""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулиця Чалдаєва 5",49.5609452,25.625977,478,Ремонт будинків
626238.46,Ремонт прибуд. території,,"ТОВ ""МіськшляхрембудТернопіль""",Ремонт прибуд. території,2018,"Україна, Тернопіль, вулицяП. Чубинського 2",49.5553257,25.6262607,479,Ремонт будинків
646932.72,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль, проспектЗлуки 53",49.5572109,25.6366228,480,Ремонт будинків
331406.82,Ремонт прибуд. території,,КП МШРБП,Ремонт прибуд. території,2018,"Україна, Тернопіль, проспектЗлуки 55",49.5572123,25.638413,481,Ремонт будинків
